23,40,113,156,282,559,23,49,69,75,4,36,72,6,8
10,-10,-31,1,2,-14,-9,-10,-18,18,-4,-4,-1,28,27
-2,0,-5,13,-40,9,5,1,-5,21,0,1,-11,-13,26
-10,-3,-18,19,15,-39,-1,-6,10,13,0,15,8,13,-16
6,-9,1,-6,-2,59,-2,17,-1,-19,0,-19,-30,-4,9
-3,21,-7,11,-11,-61,-2,-11,-2,26,0,24,6,3,6
-5,-17,-5,-18,56,-8,1,-10,-10,-15,0,7,10,-4,18
4,-4,11,36,-57,-27,-6,13,10,25,0,-2,1,2,-6
9,-7,-6,-33,39,41,3,-3,-5,-9,1,-19,-2,-8,-1
-3,12,-3,-6,14,-22,-2,-5,11,5,2,-6,1,12,-10
-7,1,-6,61,-3,-29,0,11,-15,-17,3,1,0,-6,6
-3,-11,5,-17,-38,34,6,-10,-2,54,1,-2,-1,-9,-7
12,17,-7,20,-18,7,-2,13,5,-35,-1,14,-19,1,-7
8,-15,29,-4,9,-8,6,-9,2,-34,2,-15,3,-1,27
-1,1,-27,-18,6,4,2,16,-2,18,5,5,16,-2,-23
-14,-5,-6,-14,-11,21,-7,-18,-6,33,-2,5,-12,15,21
4,3,-8,17,2,-25,3,0,-3,13,0,1,5,-7,-5
0,-1,5,32,-20,-5,5,-2,0,-3,0,0,-11,4,-4
9,0,6,-58,23,22,-1,-2,-3,-18,2,11,16,3,-10
-5,4,9,-5,-20,35,-10,4,5,-1,-2,-11,-9,0,6
5,-1,-9,-31,42,-26,2,-2,-3,-6,-4,-2,5,12,18
-13,3,-11,43,-21,-13,7,-10,-3,26,8,6,-6,-10,-6
7,-12,11,4,7,24,-7,15,-2,-23,-7,0,-2,-1,-14
0,9,4,-14,-26,31,-4,-12,9,-12,6,-3,10,5,-3
6,-1,-5,21,10,-55,1,9,-7,13,9,7,-12,-1,5
-8,-2,1,44,-24,15,-2,5,14,-28,-13,2,-2,-6,4
6,4,-17,-57,27,-30,2,-6,2,44,2,-12,22,6,7
-10,1,10,-4,28,46,-1,9,-24,-24,-2,-10,3,-20,-2
3,3,10,-19,-12,7,8,-17,25,-3,7,3,-15,-3,3
7,-4,-8,24,-31,-46,12,4,-8,26,-7,8,18,10,-5
-3,-7,-7,-32,22,-35,-13,21,12,1,1,5,20,5,10
3,-1,10,7,-37,14,6,-1,-24,-27,-1,-2,55,-14,12
-10,8,10,5,18,-23,-4,-9,-5,-1,-4,17,18,6,-26
6,2,-13,30,20,-25,-4,2,13,-18,0,-7,-19,10,3
-12,0,-6,-26,1,17,9,9,0,9,8,-15,-3,-11,20
9,-1,-2,19,-24,10,11,-17,10,5,-4,23,-28,5,-16
1,-9,-8,48,-3,12,-13,-3,1,-7,-1,-10,-11,-2,5
-1,6,12,-10,20,-26,-4,11,1,-22,9,-6,15,-4,-1
14,-5,1,-31,-3,42,-8,-2,-5,15,1,12,-29,4,-6
-13,-2,-4,-51,13,20,1,-8,0,24,10,-15,25,11,-11
3,5,-3,60,17,-17,3,4,-2,-24,-7,0,-19,-13,-7
5,3,7,-29,-46,20,-1,-6,2,33,-9,4,-15,12,20
-13,-6,-8,17,53,-6,9,-2,-1,-20,-2,6,-9,-9,-9
1,-2,2,-40,44,4,-5,-5,6,10,1,-17,1,1,-1
-1,2,-5,6,-60,14,5,9,-10,11,10,9,0,6,4
5,3,11,0,17,-24,-7,-6,-1,-17,-4,14,-3,-3,15
18,498,38,295,157,108,7,58,78,25,110,68,36,15,4
5,33,-5,-41,-14,-18,28,-4,16,-4,-2,-12,-1,6,-2
15,-44,-7,2,59,-44,3,-9,4,-3,16,6,0,2,0
-16,-53,9,-33,130,1,3,1,-19,-10,-2,-8,-3,-3,3
5,11,-9,2,-47,-2,15,-39,-2,21,20,10,5,2,8
0,24,11,-10,-37,0,6,-2,8,-14,-7,-12,25,3,5
9,17,-16,-16,0,-5,0,-3,30,-2,-28,7,14,-3,-4
4,7,-3,21,-36,0,5,0,4,-2,27,-13,-22,5,3
-14,20,5,10,-12,13,-32,3,-51,-3,0,35,9,23,-6
3,21,10,9,-13,-14,13,0,6,8,5,-18,-6,-26,2
-3,-6,-13,-2,40,-12,-8,-2,28,-4,-21,-5,-2,-2,12
6,28,12,-33,-12,-2,11,-1,-31,-2,48,-3,-11,-1,-9
1,-77,-8,29,21,17,-2,0,10,6,-31,12,26,3,-7
0,17,19,-2,-21,-3,3,2,12,-3,20,-16,-37,4,5
